Date,HAR_RV_forecast,RV_actual
2023-04-26,0.000917684025030185,1.8117760802479914e-05
2023-04-27,0.0007679215233297825,0.010202169968080599
2023-04-28,0.0011158993958748505,0.005811516347052295
2023-05-01,0.0012174261131409903,0.00035469040158700004
2023-05-02,0.0011348513106182593,0.0100998599533734
2023-05-03,0.001259692277242091,0.0009616429036702
2023-05-04,0.0012075088867814262,0.008306092416224601
2023-05-05,0.001268723013717769,0.02430305398421511
2023-05-08,0.0016875993800437598,0.00015109580379379976
2023-05-09,0.0014878151744139782,0.0017718513735515997
2023-05-10,0.0014606706045550608,0.0019759617969380004
2023-05-11,0.0014831591908101261,3.586980204894263e-07
2023-05-12,0.0010892603006419275,3.469409976296363e-05
2023-05-15,0.0005790594132928785,2.7792225941112968e-05
2023-05-16,0.000563729654823602,0.0024570576431299004
2023-05-17,0.0006706526657265981,0.004131811274281502
2023-05-18,0.0007937430777301659,0.0024828539608049
2023-05-19,0.0008876238144428554,0.0021404707372938993
2023-05-22,0.0009593234649002793,0.0005530424215956
2023-05-23,0.0009420910232884247,0.005461296904617304
2023-05-24,0.0010952612468146296,0.006059092196344603
2023-05-25,0.0011616426179278244,0.00206578793156
2023-05-26,0.0011038437486885777,0.004120391352145101
2023-05-30,0.0011807683111839799,0.0007660628333013
2023-05-31,0.0011190540924075794,0.0007355254682683
2023-06-01,0.0009900828863378854,0.018649188147530596
2023-06-02,0.0014159207224883263,0.004823220516517297
2023-06-05,0.0014097645783228878,7.859192309040455e-05
2023-06-06,0.0012026377099246843,0.002882636766146501
2023-06-07,0.0013414032517550922,2.0655669055596976e-06
2023-06-08,0.0010546043420816343,0.00044197154850889996
2023-06-09,0.0007746111827593516,0.00017163693807980003
2023-06-12,0.0005502485798553838,0.0067037746474856
2023-06-13,0.0009050792231610694,0.0007295748754325004
2023-06-14,0.0007851791080994179,0.0026273145437281003
2023-06-15,0.0009069290899919472,0.0019096725654873992
2023-06-16,0.0009488162451725549,0.004692312712234199
2023-06-20,0.0010985612149701709,0.0006150846538706001
2023-06-21,0.0008733221937230013,0.0025232787108746
2023-06-22,0.0009592668692628909,0.0004934994352020999
2023-06-23,0.0008547570438986843,0.0016187132074072005
2023-06-26,0.0008726422352676267,0.003424787999095801
2023-06-27,0.0008401565382953013,0.0013282944256137
2023-06-28,0.0008358735424452518,0.0005207732111475999
2023-06-29,0.0007431473701757246,6.655042424677808e-05
2023-06-30,0.0006832741720403524,1.3596409667666869e-05
2023-07-03,0.0005939509950776516,2.1791045908304908e-06
2023-07-05,0.0003855679002904868,0.0019334668672786003
2023-07-06,0.00047620127518947894,0.0072469523494497
2023-07-07,0.0008101954391819587,0.0016248550207068997
2023-07-10,0.0008332700671940379,0.0002577358231370003
2023-07-11,0.0007950035767911451,0.0002365465367762997
2023-07-12,0.0008003984988905344,0.0084048626319777
2023-07-13,0.0010672992980386524,2.6599768338259065e-05
