Date,GARCH_vol_forecast,RV_21
2023-04-26,0.07568152735026386,0.1637103947761997
2023-04-27,0.06866015544056416,0.1898381702645472
2023-04-28,0.07798421261416215,0.1998952755039587
2023-05-01,0.0777641914803306,0.2007119911573229
2023-05-02,0.07089235296425149,0.2238241647603642
2023-05-03,0.08155987217070909,0.2258185680371458
2023-05-04,0.07461737554605728,0.2423336213575171
2023-05-05,0.08114464906582007,0.2881162506448553
2023-05-08,0.1012985653373363,0.2860858162736173
2023-05-09,0.08721432922149608,0.287552067015514
2023-05-10,0.07986686586158435,0.2908874344249193
2023-05-11,0.07393863809805361,0.2908875623551263
2023-05-12,0.0673715348183414,0.282409250045249
2023-05-15,0.06294994145663853,0.2793370296120422
2023-05-16,0.059913410646530794,0.2836132151519001
2023-05-17,0.06302232538664827,0.2907194142673049
2023-05-18,0.06601020397187951,0.2941197969151468
2023-05-19,0.06534731644172777,0.2947261393042956
2023-05-22,0.06579761687659882,0.2947217108280895
2023-05-23,0.06304754099969742,0.3037619718340754
2023-05-24,0.07010358237827286,0.2954730323922687
2023-05-25,0.07517309390024474,0.298918020604045
2023-05-26,0.07080374574246454,0.2885657714038598
2023-05-30,0.07082530812458948,0.2796868801215989
2023-05-31,0.06602998882803442,0.2803668774638595
2023-06-01,0.06356319634062223,0.295220111396551
2023-06-02,0.08606931066481628,0.3016893962104717
2023-06-05,0.08176065337975294,0.2877307618116365
2023-06-06,0.07314732180756675,0.2477268133945862
2023-06-07,0.0705850218654342,0.2474258350248571
2023-06-08,0.06502399350775849,0.2447236482498271
2023-06-09,0.061650848988399704,0.2410090022257402
2023-06-12,0.05945981258223464,0.2545363532058083
2023-06-13,0.07013113652916828,0.2558977058884693
2023-06-14,0.06552629622009168,0.260927496053537
2023-06-15,0.06524022977844808,0.2598764574160692
2023-06-16,0.06528903347763325,0.2609526289522271
2023-06-20,0.06816922541510743,0.2573489950439762
2023-06-21,0.06477735544698664,0.2580916760062694
2023-06-22,0.06458564692839389,0.2579762978208107
2023-06-23,0.06142298724454796,0.2504180235927948
2023-06-26,0.062309391496965835,0.2451017795587634
2023-06-27,0.0661473492322124,0.2435926699162483
2023-06-28,0.06367567229087231,0.2360884806506425
2023-06-29,0.06083917427854118,0.2346023407531866
2023-06-30,0.0586196379834829,0.2330586390337712
2023-07-03,0.056953668767235,0.1888632314277552
2023-07-05,0.05572098188107834,0.1810512815091215
2023-07-06,0.05936363143802095,0.1998697750097662
