Date,Actual_RV,LSTM_Forecast
2025-06-16,0.3253929633393813,0.3331869
2025-06-17,0.3460490925291129,0.36325756
2025-06-18,0.3493686280178414,0.30050772
2025-06-20,0.3501508176219589,0.41290152
2025-06-23,0.3220186715290302,0.374321
2025-06-24,0.344651371782666,0.4093577
2025-06-25,0.3341002652804922,0.35633174
2025-06-26,0.2924816303677231,0.34831968
2025-06-27,0.2923699178722617,0.2553362
2025-06-30,0.2933431134367377,0.27178663
2025-07-01,0.2916180184329749,0.22229508
2025-07-02,0.2916172649977638,0.24223752
2025-07-03,0.2896664784573388,0.21590593
2025-07-07,0.3011724455120304,0.19163936
2025-07-08,0.3026386079323354,0.19596516
2025-07-09,0.2915241245557265,0.15097046
2025-07-10,0.2907912888825812,0.129326
2025-07-11,0.2930753095904886,0.121326424
2025-07-14,0.2963664989988088,0.13947508
2025-07-15,0.2934019176051701,0.108886555
2025-07-16,0.2557077053393555,0.12644812
2025-07-17,0.2438980515784053,0.08352426
2025-07-18,0.2110193493941165,0.098676845
2025-07-21,0.1996046318665649,0.053567283
2025-07-22,0.1984165647392371,0.0974703
2025-07-23,0.2070649627945839,0.06609528
2025-07-24,0.1642152393978181,0.03488425
2025-07-25,0.1616114252090232,0.037221305
2025-07-28,0.161427624184994,0.083749495
2025-07-29,0.1718896744437914,0.11466384
2025-07-30,0.1730345694477721,0.14931408
2025-07-31,0.1893229667064667,0.16017383
2025-08-01,0.2736747309633375,0.17967889
2025-08-04,0.3122732391258111,0.21080959
2025-08-05,0.301735098366885,0.21217176
2025-08-06,0.3028674027757751,0.28180987
2025-08-07,0.2984099695357831,0.2931851
2025-08-08,0.3114059981214323,0.3434363
2025-08-11,0.3168618974134057,0.30030313
2025-08-12,0.3282949623552352,0.36412284
2025-08-13,0.3285408075368989,0.28294957
2025-08-14,0.3291120094012277,0.2386454
2025-08-15,0.3273714673554324,0.23443191
2025-08-18,0.3273708176198569,0.235508
2025-08-19,0.3292445997902352,0.16496012
2025-08-20,0.3292097394086964,0.1837675
2025-08-21,0.3263813398922783,0.22034974
2025-08-22,0.3612086157877714,0.23530053
2025-08-25,0.3620710682863068,0.22436559
2025-08-26,0.3621940753306573,0.17824131
2025-08-27,0.357311870058709,0.12265593
2025-08-28,0.3570495370875389,0.09280926
2025-08-29,0.3541857540274556,0.10070354
2025-09-02,0.3141229968948513,0.089438975
2025-09-03,0.279648416665795,0.06062431
2025-09-04,0.2868112218254788,0.102384485
2025-09-05,0.2800489761530606,0.085961476
2025-09-08,0.2798300293335419,0.08173479
2025-09-09,0.2651404275198241,0.07648595
2025-09-10,0.2565204681001863,0.15975238
2025-09-11,0.2407736016828678,0.16354759
2025-09-12,0.2402365091539035,0.19108582
2025-09-15,0.246797865952885,0.19543922
2025-09-16,0.2497111955161393,0.25093654
2025-09-17,0.2527922590355281,0.27616733
2025-09-18,0.2499287553554857,0.25532022
2025-09-19,0.2503259774439055,0.23996778
2025-09-22,0.2473515159545882,0.25310624
2025-09-23,0.1957614445215061,0.28558517
2025-09-24,0.1938137884220719,0.25964
2025-09-25,0.1964378799993134,0.24274135
2025-09-26,0.2157612441967401,0.23508182
2025-09-29,0.2202819483882217,0.2155228
2025-09-30,0.2114728553045664,0.21819049
2025-10-01,0.179754999393769,0.23130244
2025-10-02,0.1741948714097755,0.21642604
2025-10-03,0.1610578985686455,0.17570612
2025-10-06,0.1617568520847747,0.15864182
2025-10-07,0.1697800687118352,0.15988606
2025-10-08,0.1787379090192849,0.18732636
2025-10-09,0.1777472824989835,0.18967278
2025-10-10,0.3258132333694001,0.19898698
2025-10-13,0.3505712266546397,0.32708266
2025-10-14,0.3565978489735166,0.31193808
2025-10-15,0.3542326166926763,0.38287354
2025-10-16,0.4068064647220477,0.49169022
2025-10-17,0.4520852631101644,0.64142996
2025-10-20,0.4703871990300911,0.71657634
2025-10-21,0.4690028126795408,0.6329925
2025-10-22,0.4695512228416653,0.5131457
2025-10-23,0.4742807432294555,0.45166606
2025-10-24,0.476274859417,0.34578857
2025-10-27,0.4689672898902955,0.45394737
2025-10-28,0.4676179886819522,0.36561266
2025-10-29,0.4684749842388328,0.318639
2025-10-30,0.4684749548175205,0.30096865
2025-10-31,0.4690357139258164,0.2633816
2025-11-03,0.4692936209625301,0.31168702
2025-11-04,0.47979741128838,0.28720462
2025-11-05,0.4799872015178521,0.31738517
2025-11-06,0.4832829539463457,0.3063614
2025-11-07,0.4837079766902921,0.33038306
2025-11-10,0.4051157043799508,0.2596783
2025-11-11,0.3843149590830816,0.21997106
2025-11-12,0.3740019210485542,0.1626219
2025-11-13,0.3968482639045281,0.13149145
2025-11-14,0.3405263668039649,0.17054239
2025-11-17,0.3125067146859298,0.19102544
