Date,Open,High,Low,Close,Volume,RV_daily_sq,RV_21,Parkinson_21,log_ret,RV_target,log_ret_lag1,log_ret_lag2,log_ret_lag5,log_ret_lag10,log_ret_lag21,RV_lag1,RV_lag2,RV_lag5,RV_lag10,RV_lag21,absret_roll5_mean,absret_roll5_std,absret_roll5_min,absret_roll5_max,absret_roll10_mean,absret_roll10_std,absret_roll10_min,absret_roll10_max,absret_roll21_mean,absret_roll21_std,absret_roll21_min,absret_roll21_max,absret_roll42_mean,absret_roll42_std,absret_roll42_min,absret_roll42_max,RV_roll5_mean,RV_roll5_std,RV_roll5_min,RV_roll5_max,RV_roll10_mean,RV_roll10_std,RV_roll10_min,RV_roll10_max,RV_roll21_mean,RV_roll21_std,RV_roll21_min,RV_roll21_max,RV_roll42_mean,RV_roll42_std,RV_roll42_min,RV_roll42_max,parkinson,garman_klass,regime_high_vol,vol_spike,ret_spike,VIX_level,VIX_change,vol_of_vol,GARCH_vol_forecast,HAR_RV_forecast
2023-04-26,18.65999984741211,19.61000061035156,17.8700008392334,18.84000015258789,0,1.810776080247992e-05,0.1637103947761997,0.2003209958130579,0.004255321468758844,0.1637103947761997,0.10500526109575503,0.007130091551149409,-0.022229864041926728,-0.0005237092940850729,-0.05386277685143703,0.1722909873647614,0.1421187348990952,0.1857965550173284,0.2815986192411644,0.3533883138048215,0.036438658012409066,0.04121660192887202,0.004255321468758844,0.10500526109575503,0.033042479616520425,0.03292978336858542,0.004255321468758844,0.10500526109575503,0.025598499772645795,0.02553443396177576,0.0005237092940850729,0.10500526109575503,0.04458352390669026,0.04078539561853615,0.0005237092940850729,0.16818052309360176,0.15348248866866307,0.013697835133473628,0.1421187348990952,0.1722909873647614,0.18857253289546452,0.04515836051590539,0.1421187348990952,0.2680236992910952,0.2649925772816256,0.08300464290252714,0.1421187348990952,0.3556037778309256,0.2841625376421109,0.07053545608353899,0.1421187348990952,0.3746533751191513,0.003113854515854313,0.0042811174007956285,0,0,0,18.84000015258789,0.004264388205224456,-0.04980291029614636,0.0756815273502638,0.0009176840250301
2023-04-27,18.43000030517578,18.43000030517578,16.719999313354492,17.030000686645508,0,0.0102021599680806,0.1898381702645472,0.2041318351986196,-0.10100574225300596,0.1898381702645472,0.004255321468758844,0.10500526109575503,0.042230539725252036,-0.06996623129446444,-0.031059981269611292,0.1637103947761997,0.1722909873647614,0.1464977659448727,0.2680236992910952,0.3531377202455352,0.04819369851795985,0.05059567838603769,0.004255321468758844,0.10500526109575503,0.036146430712374576,0.037886720336176134,0.004255321468758844,0.10500526109575503,0.02892925029566459,0.030383876409485266,0.0005237092940850729,0.10500526109575503,0.04618389547738847,0.041660880606133543,0.0005237092940850729,0.16818052309360176,0.16215056953259796,0.020296513572716415,0.1421187348990952,0.1898381702645472,0.1807539799928097,0.035639107766871944,0.1421187348990952,0.2534447717774985,0.2572164082349119,0.0819768835183362,0.1421187348990952,0.3556037778309256,0.2825491220371396,0.07191925465266483,0.1421187348990952,0.3746533751191513,0.0034198144737834306,0.0023298078489709497,0,0,1,17.030000686645508,-0.09607215771140842,0.159597535172189,0.0686601554405641,0.0007679215233297
2023-04-28,17.209999084472656,17.649999618530273,15.720000267028809,15.779999732971191,0,0.0058115063470523,0.1998952755039587,0.2153615271969864,-0.0762332364986058,0.1998952755039587,-0.10100574225300596,0.004255321468758844,-0.02357207622113,-0.04187589550782356,-0.04349616152765723,0.1898381702645472,0.1637103947761997,0.1427945603583864,0.2534447717774985,0.3556037778309256,0.05872593057345501,0.049661460234924064,0.004255321468758844,0.10500526109575503,0.039582164811452804,0.039964866158761755,0.004255321468758844,0.10500526109575503,0.03048815862761452,0.03196719961323554,0.0005237092940850729,0.10500526109575503,0.04771314049742664,0.04155435153142558,0.0005237092940850729,0.16818052309360176,0.17357071256171244,0.022614725603658445,0.1421187348990952,0.1998952755039587,0.17539903036545573,0.026303774866850954,0.1421187348990952,0.2186219824405144,0.24980171764791342,0.07964147663830538,0.1421187348990952,0.3555949131615979,0.28117495261361,0.07295136276327212,0.1421187348990952,0.3746533751191513,0.004836668820660284,0.003798148090756452,0,0,1,15.779999732971191,-0.07339993560038638,0.05297725544550147,0.0779842126141621,0.0011158993958748
2023-05-01,16.40999984741211,16.6200008392334,15.529999732971191,16.079999923706055,0,0.000354680401587,0.2007119911573229,0.2158681002492613,0.018832960510421604,0.2007119911573229,-0.0762332364986058,-0.10100574225300596,0.007130091551149409,-0.0070546400908124696,-0.005243870331479883,0.1998952755039587,0.1898381702645472,0.1421187348990952,0.2186219824405144,0.3555949131615979,0.06106650436530945,0.04681604841910143,0.004255321468758844,0.10500526109575503,0.040759996853413714,0.039063099204681415,0.004255321468758844,0.10500526109575503,0.03113525815994508,0.0315656562421265,0.0005237092940850729,0.10500526109575503,0.04802311549935129,0.04128184551250533,0.0005237092940850729,0.16818052309360176,0.18528936381335798,0.016631982936810497,0.1637103947761997,0.2007119911573229,0.17360803123713658,0.023493362583705987,0.1421187348990952,0.2007119911573229,0.24242634040961464,0.0764625977439191,0.1421187348990952,0.3525692852045088,0.2800800874496795,0.07382132688990115,0.1421187348990952,0.3746533751191513,0.0016595846664006263,0.0021412551818414966,0,0,0,16.079999923706055,0.01901141925294425,0.004085717640425424,0.0777641914803306,0.0012174261131409
2023-05-02,16.270000457763672,19.809999465942383,16.260000228881836,17.780000686645508,0,0.0100998499533734,0.2238241647603642,0.244611292509772,0.10049800969856815,0.2238241647603642,0.018832960510421604,-0.0762332364986058,0.10500526109575503,-0.007104875168131741,-0.01696751652529338,0.2007119911573229,0.1998952755039587,0.1722909873647614,0.1924258770848931,0.3525692852045088,0.06016505408587207,0.045790653427082266,0.004255321468758844,0.10100574225300596,0.050099310306457354,0.04122710365304166,0.004255321468758844,0.10500526109575503,0.03511290069200578,0.03478938418220025,0.0005237092940850729,0.10500526109575503,0.04924210413614588,0.04206887360165177,0.0005237092940850729,0.16818052309360176,0.19559599929247856,0.021744716857607625,0.1637103947761997,0.2238241647603642,0.17674786000468368,0.0279610965175678,0.1421187348990952,0.2238241647603642,0.23629562038846488,0.0722342887547977,0.1421187348990952,0.3486589273111717,0.2794551462237384,0.07419173292088004,0.1421187348990952,0.3746533751191513,0.01406549871050429,0.016456159405879085,0,0,1,17.780000686645508,0.10572144098292036,0.11515093577505997,0.0708923529642514,0.0011348513106182
2023-05-03,17.81999969482422,18.82999992370605,17.190000534057617,18.34000015258789,0,0.0009616329036702,0.2258185680371458,0.2473815314114722,0.031010206443529142,0.2258185680371458,0.10049800969856815,0.018832960510421604,0.004255321468758844,-0.022229864041926728,-0.008053816734809427,0.2238241647603642,0.2007119911573229,0.1637103947761997,0.1857965550173284,0.3478941971630052,0.06551603108082613,0.03862666802497056,0.018832960510421604,0.10100574225300596,0.0509773445466176,0.04065716431399533,0.004255321468758844,0.10500526109575503,0.036206062106706724,0.03425315173205086,0.0005237092940850729,0.10500526109575503,0.048604508891344954,0.04213904687652723,0.0005237092940850729,0.16818052309360176,0.20801763394466777,0.015941750953592095,0.1898381702645472,0.2258185680371458,0.18075006130666543,0.031976181446233334,0.1421187348990952,0.2258185680371458,0.2304824951919954,0.06756542562973789,0.1421187348990952,0.3486589273111717,0.2790422504944089,0.0744464680615636,0.1421187348990952,0.3746533751191513,0.0029948509949805804,0.003832158232879414,0,0,0,18.34000015258789,0.031496031738794894,0.008910580673525015,0.081559872170709,0.001259692277242
2023-05-04,19.170000076293945,21.32999992370605,18.670000076293945,20.09000015258789,0,0.0083060824162246,0.2423336213575171,0.2560464526005281,0.09113771127378989,0.2423336213575171,0.031010206443529142,0.10049800969856815,-0.10100574225300596,0.042230539725252036,0.023969231241808497,0.2258185680371458,0.2238241647603642,0.1898381702645472,0.1464977659448727,0.3486589273111717,0.06354242488498292,0.036556645157172,0.018832960510421604,0.10049800969856815,0.055868061701471385,0.042392612575367764,0.004255321468758844,0.10500526109575503,0.03940456115584869,0.0361375675735534,0.0005237092940850729,0.10500526109575503,0.05062042891141675,0.04209937809072034,0.0005237092940850729,0.16818052309360176,0.21851672416326173,0.018114202364419768,0.1998952755039587,0.2423336213575171,0.19033364684792986,0.034806049333189086,0.1421187348990952,0.2423336213575171,0.2254193853846785,0.06202345451286382,0.1421187348990952,0.3459024446378188,0.279129675882699,0.07440003260340225,0.1421187348990952,0.3746533751191513,0.0063988305907865806,0.008021848796432585,0,0,1,20.09000015258789,0.09541984653435587,0.0731341690097631,0.0746173755460572,0.0012075088867814
2023-05-05,19.5,19.6299991607666,16.690000534057617,17.190000534057617,0,0.0243030439842151,0.2881162506448553,0.2719412879186464,-0.15589433595937718,0.2881162506448553,0.09113771127378989,0.031010206443529142,-0.0762332364986058,-0.02357207622113,0.004201682855065503,0.2423336213575171,0.2258185680371458,0.1998952755039587,0.1427945603583864,0.3448868587570659,0.0794746447771372,0.05577677349670316,0.018832960510421604,0.15589433595937718,0.06910028767529611,0.05097440450334406,0.004255321468758844,0.15589433595937718,0.04662802082748258,0.04321652174435008,0.0005237092940850729,0.15589433595937718,0.05311029080820207,0.04512540619646395,0.0005237092940850729,0.16818052309360176,0.23616091919144105,0.03260845348420228,0.2007119911573229,0.2881162506448553,0.20486581587657673,0.04228577791637047,0.1421187348990952,0.2881162506448553,0.22271602309362087,0.05763814986293604,0.1421187348990952,0.3459024446378188,0.28020004386608327,0.07419303073336805,0.1421187348990952,0.3746533751191513,0.009494665165140496,0.007021156954255553,0,0,1,17.190000534057617,-0.14435040301165503,0.18892396783768883,0.08114464906582,0.0012687230137177
2023-05-08,17.729999542236328,17.8799991607666,16.829999923706055,16.979999542236328,0,0.0001510858037938,0.2860858162736173,0.2701108777668984,-0.012291696538472507,0.2860858162736173,-0.15589433595937718,0.09113771127378989,0.018832960510421604,0.007130091551149409,-0.0362900181386161,0.2881162506448553,0.2423336213575171,0.2007119911573229,0.1421187348990952,0.3459024446378188,0.07816639198274737,0.057601586096380726,0.012291696538472507,0.15589433595937718,0.06961644817402841,0.05029883567562968,0.004255321468758844,0.15589433595937718,0.04548524360842813,0.043816685842531795,0.0005237092940850729,0.15589433595937718,0.05281229668877328,0.045357595662220015,0.0005237092940850729,0.16818052309360176,0.25323568421469994,0.03174655808676705,0.2238241647603642,0.2881162506448553,0.21926252401402896,0.04304987207012042,0.1637103947761997,0.2881162506448553,0.2198676122191351,0.0524945617624095,0.1421187348990952,0.3038001929887153,0.281359864140223,0.0738873332109707,0.1421187348990952,0.3746533751191513,0.0013210168443912747,0.0011096677506437775,0,0,0,16.979999542236328,-0.01221646220459538,-0.007047274725717645,0.1012985653373363,0.0016875993800437
2023-05-09,17.290000915527344,17.860000610351562,17.219999313354492,17.709999084472656,0,0.0017718413735516,0.287552067015514,0.2687907959873544,0.04209324617502963,0.287552067015514,-0.012291696538472507,-0.15589433595937718,0.10049800969856815,0.10500526109575503,0.03050810386764269,0.2860858162736173,0.2881162506448553,0.2238241647603642,0.1722909873647614,0.3038001929887153,0.06648543927803967,0.05786216013399057,0.012291696538472507,0.15589433595937718,0.06332524668195587,0.04930530987749933,0.004255321468758844,0.15589433595937718,0.046036917051637025,0.04369144016903592,0.0005237092940850729,0.15589433595937718,0.049810218666902516,0.04154818460176636,0.0005237092940850729,0.15589433595937718,0.2659812646657299,0.029714067998915995,0.2258185680371458,0.2881162506448553,0.2307886319791042,0.04448251609991848,0.1637103947761997,0.2881162506448553,0.21909389193469692,0.05130181093019032,0.1421187348990952,0.2894718574179837,0.2813470612938926,0.07388618521761872,0.1421187348990952,0.3746533751191513,0.0004803009682891599,0.00044331354954592957,0,0,0,17.709999084472656,0.042991729205911655,0.005125212990267025,0.087214329221496,0.0014878151744139
